,datapoint,label
0,""" So now my wife's on my laptop and I'm over her shoulder acting interested in what's she's looking at. I could care less what she was looking at.",no
1,"- Am I addressing Jamie Hedges? Yes, sir. Sergeant Harknett, Union Cavalry.",no
2,A little more. A little more. You've been much more focused at work.,no
3,"Actually, he jumped at it. Says he can't wait for me to be someone else's problem. So do you think a big-city reporter and an ex-military grunt could...",no
4,Advance and engage! Can you drive that truck? Yeah!,no
5,"After some nude photos of her surfaced... Which I still own, by the way... Plus she is a total drunk.",yes
6,"After we got the account number, we were supposed to send Brittany an e-mail, and she would give us the next set of directions. But we decided that this was our chance to set a trap of our own and finally find out who she really was. Faustin!",no
7,"All right, whatever she wants from now on. Okay? All right, let's get ready for rehearsal, everybody.",no
8,"All you really got are memories and tomorrow, if you're lucky. New Eden was the only home I had left. And she...",no
9,"Amen. In the name of God almighty, I demand you, release these children of God. God demands it.",no
10,"Ammunition, Water, Food... And, of course, girls. Do you like her.",no
11,"And I go to night school. Whoop-de-fucking-do. Dude, do not let her get you down, all right?",no
12,"And I swear, I swear I am a strong woman, but when it comes to you, I just turn into this weak, pathetic, weird, awkward girl and it's dumb, it's dumb, but, but, uh, I just want you desperately. There's no guarantee with me. I know.",no
13,"And I was... I was yelling, "" What happened to Maddie? "" "" What... What's wrong with her? """,no
14,And a poodle in a dog house ? On the sixth day of Christmas My true love gave to me? Six Boxers boxing ?,no
15,"And from that plane is gonna fall a bag full of money. My heart breaks for a child who's never felt a mama's love. But when a child betrays that love, it leaves a wound in Mama don't never heal itself right.",no
16,And he seemed to think that there was a problem. He said he would go to the sheriff with any findings. Perfect.,no
17,"And here I am, pregnant, and I didn't plan for this. So it made me wonder that maybe this is a sign. Maybe I was supposed to get pregnant, and she's meant to have the baby.",no
18,"And if she's still there in the morning, then maybe we can think about... Doing something about it, but right now... I'm happy to let it drop.",no
19,"And is her request reasonable and equitable, in terms of marital property. There's a house, a car, savings and checking accounts, insurance. Just give it to her.",no
20,"And it's hard to improve on what she did, but I think you've done it ; my compliments. Thank you. And , I'm very proud of you.",no
21,"And let's not forget our most important piece of equipment on this journey... my 1994 Grand Jeep Cherokee. Six-cylinder engine, blood-red finish, roof racks... 16-inch clearance, perfect for maneuvering over any desert... Sorry.",no
22,"And she was like, "" That man asleep. He asleep. "" And we'd be like, Well, somebody need to go shut that eye.",no
23,"And she's the one that suffers. Now you're gonna want to remember this part, you may walk away from here today, but run as far as you can and the memories of what happened to her under your watch will forever be two steps behind you. And I shit you not.",no
24,"And then on the day of the event, you enter the Lancaster as a member of her staff. You will find the double, switch with him, then rip up the constitution in front of the whole world. Me?",no
25,"And then she's dead. Are you kidding me, Pam? This is what you drive?",no
26,"And then there's times where i want to get down on one knee. Well, you got a great girl. And you probably won't realize it till she's gone.",no
27,And they believe that men and women are different and that true equality lies in that difference. We strive for male/female polarity and to regain our primal power as goddesses. We need to teach men how to love us using ways they can understand.,no
28,And you brought Miley Cyrus. Of course. It's her sleigh.,no
29,And... This place is ridiculous. You deserve none of this.,no
30,"Any turbans? No guys with turbans or camels. Just soldiers, the president and me.",no
31,Are you gonna win? I hope so because it would kill me to see a mother separated from her guns. Hey...,no
32,Are you kidding me? It would be an honor. What's the matter?,no
33,Are you okay? It's probably really throbbing. Milady Rashanna.,no
34,"Are you really going to call her? What? You run by my house everyday, too.",no
35,Are you sure this is what you want? There's nothing here for her anymore. I don't want to lose you again.,no
36,Aren't you the one who talked to her every day? That's Sunday's mom. Wow... she's so good at being sad.,no
37,"BLONDE Oh, Reverend. I can't exactly go around knocking on people's doors flashing my badge and asking them for their homes. Yeah of course not, such a gross display of power would be in bad taste, that's where asset forfeiture laws come in handy and let's say for example, there's a minimum wage earning, single mother, on food stamps, who's struggling to meet her payments for her adjustable rate loan, she's caught selling a controlled substance to make end's meat.",no
38,Barbara's not her real name. It's all part of the adventure. You don't know my name.,no
39,"Basically? Was I some percentage not cool? No, she said you were cool, but, you know...",no
40,"Bear witness. Mrs. Lord, the specialist has arrived. The bathing thing with her was never about bathing.",no
41,Because he just sits there on a list. So? Then look at his feed.,no
42,"Been searching far and wide for her. Yeah, she is. She's beautiful.",no
43,"Big curtain on the ceiling comes down every night for a little privacy. Men over there, women on this side. Yeah.",no
44,"Bottom line, all right. I don't think this girl... I know she would not cheat on me right in front of my face...",no
45,"Bust a "" U ""! Hold on! Lose them!",no
46,But he always just used me like toilet paper and went home to her! I wasn't a trophy. I was an accessory.,no
47,"But if you break your other arm, I'm not helping you with your pajamas. I don't wear pajamas. Okay, guys, we're gonna run Z82.",no
48,"But my cases don't always start with trouble finding me. Sometimes I find it. Mom, I'm home.",no
49,But she wasn't. We couldn't understand what was happening. No one had answers.,no
50,But she's okay. She has this stuffedanimalthatshe carriesaroundwithher now everywhereshegoes likeit'sherbaby. Bennett... I should tell you before someone else does.,no
51,"But that's okay. That's good. That's very good, because she probably went straight to town and told somebody about it, right?",no
52,"But then her father suddenly dies, and the pre-arrangement became void. Which is great, because by that point, Lucy's totally in love with Charlie. And then Sir Lyons, think Paul.",no
53,"But there's a little wrinkle. Lucille is claiming that she wrote "" When I Live My Life Over Again. "" Oh, that's absurd. No court's gonna buy that.",no
54,"But they weren't wrong about one thing. If she was gone... she wouldn't be found until she wanted to be. Yeah, whatever, bro.",no
55,"But what can't be controlled is love. Who I fall in love with, who falls in love with me... Or if anyone falls in love with me.",no
56,"But, yeah, I just got ta respect her, though, you know,' cause she's she's super cool, and, uh, she's a great friend, and so friendship it is. What kinda question is that? Of course Gunnar plans to win.",no
57,"Buy she wasn't. Yes, she was. No, Dad, she wasn't.",no
58,"C'm on, Jacko, if you don't finish, we don't. You can do this, ok? What did mom always say? "" A bro is the best friend you're ever gonna have "", right?",no
59,CLEANER AND AIR PURIFIER THAT I HAVE. SHE'SMYAUNTCINDY. HAVE.,no
60,Can I see you tomorrow? Bye. Bye. Mom? Where's dad?,no
61,Can't do what? Set up her stuff! Tell her!,no
62,"Can't we just let it go? What do you want me to do, Gitty? The coyotes come down here and eat her alive.",no
63,"Cause she's coming. Carter, can we just go? All right.",no
64,Chloe! No! Make sure she does exactly what Chloe says!,no
65,"Christian Snyder said you told him, and you were gonna show him. Okay, are you her boyfriend or something, or... Where is it?",no
66,Coach! I can do the Amanar vault. I'm ready.,no
67,"Come down to say hello, old man? No. I came to say goodbye. Batman.",no
68,"Come here. Let's go upstairs. I mean, I know she's Lily's mother and of course I respect that.",no
69,"Come on, come on. She left you and we both know where she's at now. Be by her side.",no
70,"Come on, she just told her unibrow story. I just... I don't have one. Come on.",no
71,"Come on, you bitch! Get off of her! Get off!",yes
72,"Come on. No, no, no, no. There's no... it's notno, she's... she's my-You stay away from me, okay?",no
73,"Come with me, sweaty. Please take care of her. How cute!",no
74,Come. Run! We're going to make it.,no
75,"Coming aft. Listen up, lads. This raft is a vessel of the United States Navy, and I am her captain.",no
76,"Commander voss, offline. Lieutenant ryll, please respond. Repeat.",no
77,Complete privacy and gives traffic the finger. Named her Bunny. We think she had the capacity to feel so we jettisoned her emotion nodules a few ticks back.,no
78,"Conscience, are you nuts! They are all out to get us you see. We're just pawns in their little hands.",no
79,Cool. Okay. All right.,no
80,"Correct. There is only one ancient collection of writings that has more authenticated copies than the "" Iliad. "" Can you guess what that is? You're gonna tell me the Bible.",no
81,"Could you tell us about her health? She'd been ill for awhile. Oh, yeah, she was ill.",no
82,Couple of Saturday detentions. See? That's nothing compared to what he did to you.,yes
83,DON'TYOUREMEMBER? YOU SAW MY SHOW? DON'TYOUREMEMBER?,no
84,Da? We're here to see The Painter. Nyet.,no
85,"Damn, I got ta go to the office, so, 's meds are in the cabinet next to the fridge, she takes two Memantine... Meman what? And uh, no smoking in the house.",no
86,Dancing. It's a nice band. You can't just come waltzing into her life after 17 years.,no
87,"David, it was incredible. We were at the peak of this whole experience. And I was looking into his eyes, and that's...",no
88,"Devil's Carnival? You're in the Devil's Carnival? Come one, come two, come all?",no
89,"Did I mention you look adorable? Oh, well, I don't feel it. Barely got two hours of sleep last night.",no
90,Did he? I mean he blew a friend's husband. Spit in her face by doing it.,no
91,Did she bite you? No! I bent my finger weird.,no
92,"Did you see the kids? Yeah, I just saw her. Yeah, I saw him too.",no
93,"Didn't expect to see your mother last night. That tape, I didn't know she made that tape, that she actually went through with it. You just found that one tape?",no
94,Do they? No. They think Harwell killed Ken.,no
95,"Do you need to trade spots with your mom? Well, she looks like she's really enjoying this view. Maybe we better give her a moment.",no
96,Do you truly believe? Is it over or not? Yes.,no
97,Does it look like she's having fun to you? What? Your nose.,no
98,Does she know? Go to hell. Aww...,no
99,"Does the truth bend depending on what prism you look through? Is there a truth? To a good journalist, that is the constant question.",no
100,Don't forget to tip the help. My husband sent me to see how you're coming along with the boat. Show me what you've done inside.,no
101,"Don't hang up on. Andrew, your check didn't clear. You say you want to talk to Zoe, but she doesn't need that.",no
102,"Don't leave me! Paul! Just leave her alone, goddamnit!",no
103,"Don't look back. Come on. Go, little rabbits!",no
104,Don't worry. I talked to them all. Uh-huh?,no
105,"Don't you see what you've done to me? I have no pride. Do you know what it's like to walk into a grocery store and see the women shopping and not know if they're judging me or not, not know if they've heard the rumors, thinking the whole time that one of them might be her?",no
106,Drop it! Where is she? You're gonna watch her die like you watched my father die when you stabbed him.,no
107,"Dude, you better start moving, cause if you don't, I'm leaving. And you know what, fine. You guys just wait here with him, I'm done with this.",no
