datapoint,label
The choice is easy. I'm your guy. That is so cute.,no
You think I didn't check her out? She's clean? Clean?,no
You were perfect.? She shuts the door behind me Waits for me to get undressed She ask if I need water I can barely understand her I think she asked me what I do And I said that I'm a singer,no
Did she bite you? No! I bent my finger weird.,no
Great! Let's set up for the next shot. What if we added one more kid?,no
"Tripp, as much as it pains me to agree with her. Dylan's right. If the Krugen get those shards...",no
"Okay, so we get a cab, take her back to the trailer park, all right? One thing leads to another, we end up on my water bed making out. Pretty great.",no
"Let her go. She's a fine woman, highly talented. You may quote me, my dear.",yes
"But that's okay. That's good. That's very good, because she probably went straight to town and told somebody about it, right?",no
Mhm? Ok. Hello. Hey.,no
"- Am I addressing Jamie Hedges? Yes, sir. Sergeant Harknett, Union Cavalry.",no
Shit. You don't have to knock. It's always open.,no
"Great, okay. So, he says it's a violation of the court order for them to not let us pick her up. Bu!",no
"She's so full of this hypothetical black dick, that it's moved everything in her body out of the way, and behind her eyelids, pink dick-head meat. That's even funny if you write that down. Black dick, yo.",yes
"This one from the ghetto. I mean, this guy's really angry. He's gonna fuck rocky's wife, I know it.",no
"Just drive her out slowly. Slower than that, okay? Take your time.",no
What the hell are you talking about? I don't know. I just know that they always find the killer.,no
"Could you tell us about her health? She'd been ill for awhile. Oh, yeah, she was ill.",no
"I told you a million times, she's an econ nerd, too... She posts comments on a website that I read and I emailed her... That I liked her ideas and we hit it off.",no
Three minutes and counting. But what if they're right behind the door? Please stop!,no
"David, it was incredible. We were at the peak of this whole experience. And I was looking into his eyes, and that's...",no
"Oh, God, I hope I'm wrong. Stacy's friends and family immediately called the police and said they thought you had done something to her. That's right.",no
"Bust a "" U ""! Hold on! Lose them!",no
Maybe someone got her. Damn vampire solidarity. I'm sure they moved her...,no
So how's Skylar? She's all right. Ally and Dan are back there with her.,no
"I had a fantastic year with you all here. There have been many great moments, like the time when... Alright, everybody settle down for just a second.",no
"I have the sixth sense for stupidity. He's around here somewhere. Man, is she always like this?",no
"You're kidding. No, I'm not kidding, Frank. What happened to you?",no
"We don't need you! "" Bert Parks got fired. It became verbal, and it was mean. "" There she is. "" "" Oh, black thing.",no
"Come on, she just told her unibrow story. I just... I don't have one. Come on.",no
"Michael, listen to me. Do not hurt that little girl. Do not hurt that little girl.",no
"Bear witness. Mrs. Lord, the specialist has arrived. The bathing thing with her was never about bathing.",no
How is life in the big city? It's fine. You don't miss Black Falls?,no
"I'm going for the principle. You have a date with principal Miller? No, stupid.",no
"You need to relax. I wouldn't do that if I were you. Oh, I'm in your shop?",no
"Let me give her some juice. Now that, my friend, is 450 cubic inches of American metal. Four 4-barrel carburettors spitting mad fuel!",no
Nolonger aretheyallalone? Withaloha astheirnewhome? Andwhenyou visitthem?,no
"Damn, I got ta go to the office, so, 's meds are in the cabinet next to the fridge, she takes two Memantine... Meman what? And uh, no smoking in the house.",no
That can't fucking happen. You hear me? Yeah.,no
But he always just used me like toilet paper and went home to her! I wasn't a trophy. I was an accessory.,no
"They used to date, when she was 15, and it was a secret. He came over after we had a party, and... and I went outside just to give him a beer, but then he kissed me. And then she came out, and she saw, and they started fighting, and then I had to hit him, and she hit him and... and it just happened.",no
"You're a wicked person. I'm gonna take these test results to my colleagues, and I'm confident, with some consultation, we'll come up with a treatment plan for Chloe. I want her to start taking this.",no
"She has no idea who I am. I have to tell her the truth. Well, maybe telling her tonight is a little abrupt.",no
"Mmm. I'm happy. And I'm I'm really close to clearing my debt. Oh, your debt, that's right.",no
Come. Run! We're going to make it.,no
That's for all the times I had to listen to you fucking her Tonight you're gonna be the one listening on the other side of the wall Leave her the fuck alone! Do you believe in ghosts? Scream for him Fuck you.,no
Barbara's not her real name. It's all part of the adventure. You don't know my name.,no
"Does the truth bend depending on what prism you look through? Is there a truth? To a good journalist, that is the constant question.",no
"Hmm. Hmmm. Where's ? In our bedroom, she won't come out.",no
"There are only three more classes. Okay, but can we re-evaluate after two? Yes.",no
"And is her request reasonable and equitable, in terms of marital property. There's a house, a car, savings and checking accounts, insurance. Just give it to her.",no
"Now every time I eat an apple I think of her. It's funny, I never got the recipe. I guess I always thought that the pies would just be there.",no
"Coming aft. Listen up, lads. This raft is a vessel of the United States Navy, and I am her captain.",no
"Cause she's coming. Carter, can we just go? All right.",no
Why? Sooner like I told you. All right.,no
"Give me a hint. Nope, nope, nope. Okay, two thousand?",no
This whole thing has been so painful. Mm. Cameron was crying afterwards. They always do.,no
"Excellent. Airman Bowles, I want you to employ any means necessary to stop her from interfering with this mission. Pardon me, sir?",no
Things are gonna be better. You are delusional and she's a psychopath. You both need help.,no
"My best buddies go up the mountain as regular Joes. Come down fucking rich. I mean, how did that happen?",no
"I suck at this! I just don't wanna be weird, okay? Baby, please don't cry.",no
"After some nude photos of her surfaced... Which I still own, by the way... Plus she is a total drunk.",yes
"I'm not gonna be able to walk on stilts. I'll be back after I try these. I'm not gonna send this to Joel, but in all honesty, like what do you think about this idea?",no
Gatorade. I don't have... I'll see if I have gatorade.,no
You must be so proud of your boys. Making a big Hollywood movie. Aren't you?,no
"Good morning. I just have one question. At Malia's old school, her teacher used to stay late sometimes after school to help her a little bit with her reading...",no
"Amen. In the name of God almighty, I demand you, release these children of God. God demands it.",no
"Just, I'm curious. Okay. You know Abby, my sister, she, said that it's amazing.",no
"Come with me, sweaty. Please take care of her. How cute!",no
Is she all right? I don't know. I know her.,no
"Why's she coming over? Well, we had a... you know, we had a good time, so we thought it might be fun, right? Good job, dad.",no
"I gave her a place, but she refused. So she's crazy? Ugh!",no
"I taught him a trick. Watch, he can shake. Come on, Bacon.",no
"And then there's times where i want to get down on one knee. Well, you got a great girl. And you probably won't realize it till she's gone.",no
You sure it's her? We're checking the DNA samples from the parents. It's Bogdanov.,no
"Did I mention you look adorable? Oh, well, I don't feel it. Barely got two hours of sleep last night.",no
Okay. Okay. Amy!,no
Drop it! Where is she? You're gonna watch her die like you watched my father die when you stabbed him.,no
Majored in international law at Oxford. Top of her class. Been living in London for the past 10 years.,no
What's your name? Vallie Sue. That's very pretty.,no
"Been searching far and wide for her. Yeah, she is. She's beautiful.",no
"Okay, how about that one? Oh, that makes all the difference in the world. Oh, my God.",no
I don't think you should go introduce her to new neighbors just yet. Don't you hear her crying? Yeah.,no
"Why would not I be? Gus? As for the new girls, if you're serious about it, you have to tell her the truth.",no
"Yes you can. I'm proud of you, Austin. Thanks.",no
"Whoa, whoa, whoa, whoa. I stole her jewelry? I saw someone in her house the other night.",no
"Yup. Sounds like it. David, all right.",no
"Faith! What is that damn thing? I don't know, man.",no
"How you doing? Mom, she's told me all about you. You know, recently.",no
It's over. Let her go. Aah!,no
"So, I'm thinking about Roman navel strategies and the way that it developed between first and second Punic Wars. Victorian English excavators of Pompeii found themselves completely aghast at the hoards of sexual images that they found underneath the volcanic ash, from forearm size bronze phalluses, which the residents would hang in their doorways, to depictions of various sexual positions from the city brothel, which would allow the customers to choose their pleasure as they would from a fast food value menu. Dr. Hadley, I'm sorry to interrupt.",no
Fuck! Drive! Shit.,no
"But they weren't wrong about one thing. If she was gone... she wouldn't be found until she wanted to be. Yeah, whatever, bro.",no
"Conscience, are you nuts! They are all out to get us you see. We're just pawns in their little hands.",no
"subtle, ? Okay, well, I really shouldn't be saying anything right now, but she told me, a few years back, some crazy guy killed a bunch of her friends, and she's the only one who survived. What?!",no
"I'm going to see what she wants. Hey, Mom. Actually, we're busy.",no
"You're a little slow. Uh, this game hurts my feelings. 20 years from now, oceans are gonna rise and wipe out the Eastern Seaboard and no one's gonna care who made what album whereas the Beach Boys has already had a 50-year run.",no
Can't do what? Set up her stuff! Tell her!,no
"Send me a picture of her? No, I'm not sending you... Are we 14?",no
"I-I'm just asking, like... Do you love bein' a soldier? Marines, it's a bit different.",no
"Well, maybe I should get a car. I mean... she can stay in my room. We got to get another car.",no
"Oh, welcome back, sir. I didn't recognize you. Let me just make sure your seats are ready.",no
What I've done has been glorious. Death is only a woman too. Think of us.,no
"We can't do that, General. The heat wave from the blast will kill off the viral agent. I'll make a virus to infect the ships computer.",no
"People celebrating. I saw Casey, she was glowing. And I knew I should be in there with her.",no
"Come on. No, no, no, no. There's no... it's notno, she's... she's my-You stay away from me, okay?",no
I would've never met... her wonderful... beautiful... roommate. You. And...,no
I feel you? I want you to ravish me? Have you ever been to Marbella?,no
"Oh no, she's getting the other secretaries to walk off the job. She's leading a revolt. I could lose the female vote over this stupid joke!",yes
"I'll leave you to your manual labour. Tell mom I say hi. Ok, kiddo.",no
"Zoe. Thanks, Alex.",no
"Yeah, but there's nothing we can do about that. That's the only way she can swim. Maybe not.",no
Where can we find a chick That's desperate enough To bang her way back to fame? I know of a venue that will have Several of those female individuals in attendance currently.,yes
She ran off with her children. I told you guys that house was overcrowded. Her kid was fighting when she went to visit.,no
"Okay. Seriously, we don't have a smaller baby? Hey, don't forget to burp him.",no
"Sure. Thanks. Carmen, why are you getting her hopes up?",no
"We are, in general, fucked up. If it had to be with a girl, I'm glad it was with you. Thank you?",no
"It was yesterday, Dad. You know what I mean. Uh, who wants presents?",no
And a poodle in a dog house ? On the sixth day of Christmas My true love gave to me? Six Boxers boxing ?,no
Where am I supposed to sleep? What are you doing? Some people are trying to sleep!,no
"Popcorn and I packed the rest of her stuff. Hey, where is Popcorn? on. Well, I think that's everything.",no
"Hey. I just saw Dad in town -You remember these? We scared the shit out of with these things, like did we blow up her dollhouse?",no
"You don't even know her name. I know when ya'll first met, she was married. I also know when you started fuckin' her, she was still married.",yes
