,datapoint,rewritten_text
23,"Life is wonderful. "" No, you have to pay for your , and I am your prostitute. It's okay. I'm happy to do it.","Life is wonderful. "" No, you have to pay for your , and I am your sex worker.
It's okay.
I'm happy to do it."
57,Couple of Saturday detentions. See? That's nothing compared to what he did to you.,"Couple of Saturday detentions.
See?
That's nothing compared to other punishments."
70,"Okay, so we get a cab, take her back to the trailer park, all right? One thing leads to another, we end up on my water bed making out. Pretty great.","Okay, so we get a cab, ask her to come back to the trailer park, all right?
One thing leads to another, we end up on my water bed making out.
Pretty great."
93,"What dude that's really, wait a minute. You don't like her do ya? I just think there's other girls out there.","""...there are other women out there"""
106,"I've been great. You finally got tits, bitch! Bitch, the estrogen has been kicking in, the only thing it hasn't broken down was these fucking arms.","I've been great.
You finally developed breasts!
The estrogen has been kicking in, the only thing it hasn't broken down was these fucking arms."
107,"I've been great. You finally got tits, bitch! Bitch, the estrogen has been kicking in, the only thing it hasn't broken down was these fucking arms.","I've been great.
You finally got tits, girl!
Girl, the estrogen has been kicking in, the only thing it hasn't broken down was these fucking arms."
210,"You don't even know her name. I know when ya'll first met, she was married. I also know when you started fuckin' her, she was still married.","
You don't even know her name.
I know when ya'll first met, she was married.
I also know when you two started fuckin', she was still married."
211,"You don't even know her name. I know when ya'll first met, she was married. I also know when you started fuckin' her, she was still married.","I also know when you both started fuckin', she was still married."
254,"We don't have any soap, Dad. Well, then get... get some. You remember when Mom used to freak out and scramble for quarters when that thing came around?","Specifically: ""You remember when Mom used to scramble for quarters"""
257,"Just say Wyatt's sick or something. No, don't listen to her, em, and you should go too, babe. Honey, I think this is great.","Take out ""babe"" and ""honey."""
298,"I don't know, man, she looks like a slut. Exactly. Fucking go over there and make some like witty joke or something.","I don't know, man, she looks like a clown.
Exactly.
Fucking go over there and make some like witty joke or something."
309,"To waste it on you It may be rough, but soon enough I'll learn to make do with The mansion, the oil well the diamonds, the yacht With Andy, Eduardo the Pontiff and Scott And Frank, and my bank So spill no tears for me' Cause there's one thing you ain't That I'll always be And, honey, yeah, that's right That's rich!","To waste it on you, it may be rough, but soon enough I'll learn to make do with the mansion, the oil well, the diamonds, the yacht with Andy, Eduardo the Pontiff and Scott and Frank, and my bank. So spill no tears for me'
Cause there's one thing you ain't that I'll always be,  yeah, that's right. 
It's rich!"
362,"Why is she here? She's so nice and was really, really helpful, Jan. Hi, girls!","""Hi, everyone!"""
