metric,mlp_bow,log_reg_bow,mlp_tfidf,log_reg_tfidf,xgboost_bow,xgboost_tfidf
train_acc,0.9996948893974066,0.9829138062547673,0.9996948893974066,0.9249427917620138,0.9786422578184591,0.9823035850495805
test_acc,0.9282868525896414,0.9362549800796812,0.9296148738379814,0.9322709163346613,0.9362549800796812,0.9349269588313412
train_balanced_acc,0.9985693848354793,0.9211454009240367,0.9985693848354793,0.6543679202138887,0.9004868635521471,0.9176542455263961
test_balanced_acc,0.9985693848354793,0.9211454009240367,0.9985693848354793,0.6543679202138887,0.9004868635521471,0.9176542455263961
train_f1_yes,0.9985673352435529,0.9131782945736434,0.9985673352435529,0.468682505399568,0.888888888888889,0.9096573208722742
train_f1_no,0.9998292641283933,0.9905245346869712,0.9998292641283933,0.9596191726854891,0.9881856540084389,0.9901911043463555
test_f1_yes,0.24999999999999994,0.22580645161290322,0.2535211267605634,0.07272727272727272,0.25,0.22222222222222224
test_f1_no,0.9623430962343096,0.9667590027700831,0.9630662020905923,0.9648518263266712,0.9667128987517337,0.966042966042966
train_precision_yes,1.0,0.9966159052453468,1.0,0.9559471365638766,0.9982174688057041,0.9982905982905983
train_precision_no,0.99965858654831,0.9815560026827632,0.99965858654831,0.9238305941845765,0.9768101434768102,0.9807370184254607
test_precision_yes,0.47368421052631576,0.7777777777777778,0.5,1.0,0.7272727272727273,0.7
test_precision_no,0.9400544959128065,0.9381720430107527,0.9401360544217687,0.9320905459387483,0.9393530997304582,0.9380888290713324
train_recall_yes,0.9971387696709585,0.8426323319027181,0.9971387696709585,0.3104434907010014,0.8011444921316166,0.8354792560801144
train_recall_no,1.0,0.9996584699453552,1.0,0.9982923497267759,0.9998292349726776,0.9998292349726776
test_recall_yes,0.16981132075471697,0.1320754716981132,0.16981132075471697,0.03773584905660377,0.1509433962264151,0.1320754716981132
test_recall_no,0.9857142857142858,0.9971428571428571,0.9871428571428571,1.0,0.9957142857142857,0.9957142857142857
train_log_loss,0.010538146878692284,0.5901364691723666,0.010538146878692284,2.5923853519863256,0.7376704034912177,0.6112126409469223
test_log_loss,2.4768949818054176,2.201677113081771,2.4310256909789354,2.33927967614933,2.2016781749641483,2.2475464039082533
